lat,lng,alt
-20.844999999999896,55.43499999999994,2.119
-20.844999999999896,55.444999999999936,2.108
-20.844999999999896,55.454999999999934,2.098
-20.844999999999896,55.46499999999993,2.093
-20.844999999999896,55.47499999999993,2.085
-20.854999999999897,55.394999999999946,2.266
-20.854999999999897,55.404999999999944,2.315
-20.854999999999897,55.41499999999994,2.354
-20.854999999999897,55.42499999999994,2.374
-20.854999999999897,55.43499999999994,2.386
-20.854999999999897,55.444999999999936,2.377
-20.854999999999897,55.454999999999934,2.36
-20.854999999999897,55.46499999999993,2.348
-20.854999999999897,55.47499999999993,2.338
-20.854999999999897,55.48499999999993,2.323
-20.854999999999897,55.494999999999926,2.311
-20.854999999999897,55.504999999999924,2.297
-20.854999999999897,55.51499999999992,2.282
-20.854999999999897,55.52499999999992,2.256
-20.854999999999897,55.53499999999992,2.224
-20.8649999999999,55.37499999999995,2.41
-20.8649999999999,55.38499999999995,2.474
-20.8649999999999,55.394999999999946,2.517
-20.8649999999999,55.404999999999944,2.565
-20.8649999999999,55.41499999999994,2.61
-20.8649999999999,55.42499999999994,2.633
-20.8649999999999,55.43499999999994,2.648
-20.8649999999999,55.444999999999936,2.642
-20.8649999999999,55.454999999999934,2.627
-20.8649999999999,55.46499999999993,2.611
-20.8649999999999,55.47499999999993,2.596
-20.8649999999999,55.48499999999993,2.577
-20.8649999999999,55.494999999999926,2.562
-20.8649999999999,55.504999999999924,2.552
-20.8649999999999,55.51499999999992,2.529
-20.8649999999999,55.52499999999992,2.5
-20.8649999999999,55.53499999999992,2.462
-20.8649999999999,55.544999999999916,2.42
-20.8649999999999,55.554999999999914,2.377
-20.8649999999999,55.56499999999991,2.329
-20.8649999999999,55.57499999999991,2.274
-20.8649999999999,55.58499999999991,2.212
-20.8749999999999,55.354999999999954,2.517
-20.8749999999999,55.36499999999995,2.591
-20.8749999999999,55.37499999999995,2.657
-20.8749999999999,55.38499999999995,2.723
-20.8749999999999,55.394999999999946,2.786
-20.8749999999999,55.404999999999944,2.819
-20.8749999999999,55.41499999999994,2.872
-20.8749999999999,55.42499999999994,2.896
-20.8749999999999,55.43499999999994,2.909
-20.8749999999999,55.444999999999936,2.904
-20.8749999999999,55.454999999999934,2.895
-20.8749999999999,55.46499999999993,2.88
-20.8749999999999,55.47499999999993,2.864
-20.8749999999999,55.48499999999993,2.842
-20.8749999999999,55.494999999999926,2.832
-20.8749999999999,55.504999999999924,2.811
-20.8749999999999,55.51499999999992,2.783
-20.8749999999999,55.52499999999992,2.749
-20.8749999999999,55.53499999999992,2.706
-20.8749999999999,55.544999999999916,2.661
-20.8749999999999,55.554999999999914,2.612
-20.8749999999999,55.56499999999991,2.558
-20.8749999999999,55.57499999999991,2.499
-20.8749999999999,55.58499999999991,2.431
-20.8749999999999,55.59499999999991,2.346
-20.8749999999999,55.604999999999905,2.265
-20.8749999999999,55.6149999999999,2.163
-20.884999999999902,55.33499999999996,2.591
-20.884999999999902,55.344999999999956,2.673
-20.884999999999902,55.354999999999954,2.75
-20.884999999999902,55.36499999999995,2.825
-20.884999999999902,55.37499999999995,2.899
-20.884999999999902,55.38499999999995,2.972
-20.884999999999902,55.394999999999946,3.042
-20.884999999999902,55.404999999999944,3.07
-20.884999999999902,55.41499999999994,3.094
-20.884999999999902,55.42499999999994,3.117
-20.884999999999902,55.43499999999994,3.173
-20.884999999999902,55.444999999999936,3.163
-20.884999999999902,55.454999999999934,3.159
-20.884999999999902,55.46499999999993,3.149
-20.884999999999902,55.47499999999993,3.135
-20.884999999999902,55.48499999999993,3.112
-20.884999999999902,55.494999999999926,3.092
-20.884999999999902,55.504999999999924,3.067
-20.884999999999902,55.51499999999992,3.029
-20.884999999999902,55.52499999999992,2.989
-20.884999999999902,55.53499999999992,2.941
-20.884999999999902,55.544999999999916,2.892
-20.884999999999902,55.554999999999914,2.838
-20.884999999999902,55.56499999999991,2.78
-20.884999999999902,55.57499999999991,2.716
-20.884999999999902,55.58499999999991,2.644
-20.884999999999902,55.59499999999991,2.558
-20.884999999999902,55.604999999999905,2.471
-20.884999999999902,55.6149999999999,2.366
-20.884999999999902,55.6249999999999,2.252
-20.884999999999902,55.6349999999999,2.133
-20.894999999999904,55.27499999999997,2.249
-20.894999999999904,55.28499999999997,2.334
-20.894999999999904,55.294999999999966,2.417
-20.894999999999904,55.304999999999964,2.512
-20.894999999999904,55.31499999999996,2.616
-20.894999999999904,55.32499999999996,2.722
-20.894999999999904,55.33499999999996,2.816
-20.894999999999904,55.344999999999956,2.902
-20.894999999999904,55.354999999999954,2.984
-20.894999999999904,55.36499999999995,3.066
-20.894999999999904,55.37499999999995,3.149
-20.894999999999904,55.38499999999995,3.186
-20.894999999999904,55.394999999999946,3.261
-20.894999999999904,55.404999999999944,3.314
-20.894999999999904,55.41499999999994,3.343
-20.894999999999904,55.42499999999994,3.368
-20.894999999999904,55.43499999999994,3.429
-20.894999999999904,55.444999999999936,3.431
-20.894999999999904,55.454999999999934,3.424
-20.894999999999904,55.46499999999993,3.409
-20.894999999999904,55.47499999999993,3.392
-20.894999999999904,55.48499999999993,3.372
-20.894999999999904,55.494999999999926,3.347
-20.894999999999904,55.504999999999924,3.316
-20.894999999999904,55.51499999999992,3.281
-20.894999999999904,55.52499999999992,3.229
-20.894999999999904,55.53499999999992,3.177
-20.894999999999904,55.544999999999916,3.123
-20.894999999999904,55.554999999999914,3.063
-20.894999999999904,55.56499999999991,3.001
-20.894999999999904,55.57499999999991,2.932
-20.894999999999904,55.58499999999991,2.857
-20.894999999999904,55.59499999999991,2.765
-20.894999999999904,55.604999999999905,2.672
-20.894999999999904,55.6149999999999,2.564
-20.894999999999904,55.6249999999999,2.448
