session_name,time_first_frame,number_first_frame,filt_exclude_specific_timeUS,depth_range_max,depth_range_min,filt_exclude_specific_datetimeUTC,rgp_station
20231203_REU-TROU-DEAU_ASV-1_01,2023:12:03 02:22:45.50,10,,,,,
20231204_REU-TROU-DEAU_ASV-1_01,2023:12:04 02:12:50.99,10,"[[1634042114, 1688042187]]",,,,
20231204_REU-TROU-DEAU_ASV-1_02,2023:12:04 03:09:29.20,10,"[[254128829, 306328872]]",,,,
20231204_REU-TROU-DEAU_ASV-1_03,2023:12:04 04:26:25.9,10,,,,,
20231204_REU-TROU-DEAU_ASV-1_04,2023:12:04 05:27:55.70,20,,,,,
20231204_REU-TROU-DEAU_ASV-2_01,2023:12:04 04:19:31.20,10,,,,,
20231204_REU-TROU-DEAU_ASV-2_02,2023:12:04 05:33:29.80,10,,,,,
20231205_REU-HERMITAGE_ASV-1_01,2023:12:05 04:23:35.76,110,,,,,
20231205_REU-HERMITAGE_ASV-1_02,2023:12:05 05:50:22.19,10,,,,,
20231205_REU-HERMITAGE_ASV-2_01,2023:12:05 01:45:13.71,10,,,,,
20231205_REU-HERMITAGE_ASV-2_02,2023:12:05 02:59:00.62,20,,,,,
20231205_REU-HERMITAGE_ASV-2_03,2023:12:05 04:13:08.55,30,,,,,
20231205_REU-HERMITAGE_ASV-2_04,1970:01:01 00:00:00.00,0,"[[495310534, 668310539]]",,,,
20231207_REU-HERMITAGE_ASV-1_01,2023:12:07 02:45:13.20,100,,,,,
20231207_REU-HERMITAGE_ASV-1_02,2023:12:07 03:46:01.90,40,,,,,
20231207_REU-HERMITAGE_ASV-1_03,2023:12:07 04:50:13.10,40,,,,,
20231207_REU-HERMITAGE_ASV-1_04,2023:12:07 05:53:57.0,131,"[[3321762002,3378182045]]",,,,
20231208_REU-ST-LEU_ASV-1_01,2023:12:08 03:20:08.9,10,,,,,
20231208_REU-ST-LEU_ASV-1_02,2023:12:08 04:33:16.7,200,,,,,
20231208_REU-ST-LEU_ASV-1_03,2023:12:08 05:39:57.7,206,,,,,
20231211_REU-SOURIS-BLANCHE_ASV-1_01,1970:01:01 00:00:00.00,0,,,,,
20231213_REU-ETANG-SALE_ASV-1_01,2023:12:13 02:52:07.79,20,,,,,
20231213_REU-ETANG-SALE_ASV-1_02,2023:12:13 03:45:11.69,20,,,,,
20231213_REU-ETANG-SALE_ASV-1_03,2023:12:13 04:47:29.12,20,,,,,
20231213_REU-ETANG-SALE_ASV-1_04,2023:12:13 05:31:10.05,20,,,,,sntl
20231213_REU-ETANG-SALE_ASV-2_01,2023:12:13 03:21:47.15,20,,,,"[['2023:12:13 03:22:04.0','2023:12:13 03:25:25.0'],['2023:12:13 04:07:03.0','2023:12:13 04:18:48.0']]",
20231215_REU-ST-LEU_ASV-1_01,2023:12:15 02:31:44.93,20,,,,,
20231215_REU-ST-LEU_ASV-1_02,2023:12:15 03:22:11.01,170,,,,,
20231215_REU-ST-LEU_ASV-1_03,2023:12:15 04:13:13.70,181,,,,,
20231215_REU-ST-LEU_ASV-1_04,2023:12:15 04:52:26.70,190,,,,,
