session_name,time_first_frame,number_first_frame,filt_exclude_specific_timeUS,depth_range_max,depth_range_min,filt_exclude_specific_datetimeUTC,rgp_station
20250515_REU-LA-SALINE_ASV-1_01,2025:05:15 03:23:21.27,280,,,,"[['2025:05:15 03:23:38.0','2025:05:15 03:25:24.0']]",
20250515_REU-LA-SALINE_ASV-1_02,2025:05:15 04:42:25.15,80,,,,,
20250515_REU-LA-SALINE_ASV-1_03,2025:05:15 05:25:03.96,10,,,,"[['2025:05:15 05:25:03.0','2025:05:15 05:27:19.0'],['2025:05:15 06:14:31.0','2025:05:15 06:18:58.0']]",
20250515_REU-LA-SALINE_ASV-2_01,2025:05:15 03:34:31.79,70,,,,,
20250515_REU-LA-SALINE_ASV-2_02,2025:05:15 05:16:06.57,80,,,,,
20250519_REU-ST-LEU_ASV-1_01,2025:05:19 04:03:16.87,10,,,,"[['2025:05:19 04:03:15.0','2025:05:19 04:06:31.0'],['2025:05:19 05:12:38.0','2025:05:19 05:14:30.0']]",
20250519_REU-ST-LEU_ASV-1_02,2025:05:19 05:24:52.11,90,,,,"[['2025:05:19 05:24:51.0','2025:05:19 05:27:28.0'],['2025:05:19 06:05:45.0','2025:05:19 06:06:57.0']]",
20250519_REU-ST-LEU_ASV-2_01,2025:05:19 03:57:50.99,46,,,,,
