session_name,time_first_frame,number_first_frame,filt_exclude_specific_timeUS,depth_range_max,depth_range_min,filt_exclude_specific_datetimeUTC,rgp_station
20240708_REU-POINTE-DES-AIGRETTES_ASV-1_01,1970:01:01 00:00:00.0,0,"[[2574040496,2636840631]]",,3,,
20240715_REU-LA-SALINE_ASV-1_01,2024:07:15 04:32:01.88,10,,,,,
20240715_REU-LA-SALINE_ASV-1_02,2024:07:15 05:40:41.32,10,,,,"[['2024:07:15 06:26:03.0','2024:07:15 06:30:20.0'],['2024:07:15 05:40:59.0','2024:07:15 05:45:15.0']]",
20240715_REU-ST-LEU_ASV-1_01,2024:07:15 02:46:07.38,10,,,,,
20240715_REU-ST-LEU_ASV-1_02,2024:07:15 03:21:47.68,40,,,,"[['2024:07:15 03:32:00.0','2024:07:15 03:33:09.0']]",
