session_name,time_first_frame,number_first_frame,filt_exclude_specific_timeUS,depth_range_max,depth_range_min,filt_exclude_specific_datetimeUTC,rgp_station
20250616_REU-ST-LEU_ASV-1_01,2025:06:16 03:07:35.88,30,,,,"[['2025:06:16 03:07:53.0', '2025:06:16 03:09:58.0'],['2025:06:16 04:12:00.0', '2025:06:16 04:21:30.0'], ['2025:06:16 03:43:20.0', '2025:06:16 03:43:31.0']]",
20250616_REU-ST-LEU_ASV-1_02,2025:06:16 04:29:23.91,50,,,,"[['2025:06:16 04:29:41.0', '2025:06:16 04:31:43.0'],['2025:06:16 04:40:28.0', '2025:06:16 04:43:20.0']]",
20250616_REU-ST-LEU_ASV-1_03,2025:06:16 04:43:31.22,40,,,,"[['2025:06:16 04:43:48.0', '2025:06:16 04:46:51.0'],['2025:06:16 05:24:26.0', '2025:06:16 05:30:29.0']]",
20250616_REU-ST-LEU_ASV-1_04,2025:06:16 05:43:50.51,20,,,,"[['2025:06:16 05:44:07.0', '2025:06:16 05:46:26.0'],['2025:06:16 06:21:26.0', '2025:06:16 06:30:37.0']]",
20250618_REU-ETANG-SALE_ASV-1_01,2025:06:18 03:28:00.23,20,,,,"[['2025:06:18 03:28:18.0', '2025:06:18 03:31:18.0'],['2025:06:18 04:15:56.0', '2025:06:18 04:17:50.0']]",
20250618_REU-ETANG-SALE_ASV-2_01,2025:06:18 03:44:08.96,20,,2,,,
20250619_REU-TROU-DEAU_ASV-1_01,2025:06:19 03:57:43.65,10,,,,,
20250619_REU-TROU-DEAU_ASV-2_01,2025:06:19 03:48:49.30,20,,,,,
20250620_REU-TESSIER_ASV-1_01,2025:06:20 03:17:11.25,20,,,,,
20250620_REU-TESSIER_ASV-1_02,2025:06:20 04:28:08.84,20,,,,,
20250620_REU-TESSIER_ASV-2_01,2025:06:20 04:13:41.58,20,,,,,
20250620_REU-TESSIER_ASV-2_02,2025:06:20 05:11:55.27,40,,,,,
