session_name,time_first_frame,number_first_frame,filt_exclude_specific_timeUS,depth_range_max,depth_range_min,filt_exclude_specific_datetimeUTC,rgp_station
20240515_REU-TESSIER_ASV-1_01,2024:05:15 02:28:16.27,20,,,,,
20240515_REU-TESSIER_ASV-1_02,2024:05:15 03:46:08.10,20,,,,,
20240515_REU-TESSIER_ASV-1_03,2024:05:15 05:01:05.24,20,,,,,
20240517_REU-TROU-DEAU_ASV-1_01,2024:05:17 02:36:16.10,40,,,,,
20240517_REU-TROU-DEAU_ASV-1_02,2024:05:17 03:49:46.04,100,,,,,
20240517_REU-TROU-DEAU_ASV-1_03,2024:05:17 04:54:48.07,80,,,,,
