session_name,time_first_frame,number_first_frame,filt_exclude_specific_timeUS,depth_range_max,depth_range_min,filt_exclude_specific_datetimeUTC,rgp_station
20251104_REU-ST-LEU_ASV-1_01,2025:11:04 03:16:39.72,10,,,,,
20251104_REU-ST-LEU_ASV-1_02,2025:11:04 04:17:00.18,10,,10,,,
20251104_REU-ST-LEU_ASV-1_03,2025:11:04 05:31:47.80,10,,12,,,
20251104_REU-ST-LEU_ASV-2_01,2025:11:04 03:07:19.79,10,,,,,
20251104_REU-ST-LEU_ASV-2_02,2025:11:04 04:29:03.46,10,,,,,
20251104_REU-ST-LEU_ASV-2_03,1970:00:00 00:00:00.0,0,,,,,
20251106_REU-ST-LEU_ASV-1_01,2025:11:06 02:01:55.23,60,,25,,,
20251106_REU-ST-LEU_ASV-1_02,2025:11:06 03:07:28.41,46,,20,,,
20251106_REU-ST-LEU_ASV-1_03,2025:11:06 04:27:05.62,40,,15,,,
20251106_REU-ST-LEU_ASV-2_01,2025:11:06 02:07:51.78,10,"[[2773564180,2889564141]]",,,,
20251106_REU-ST-LEU_ASV-2_02,2025:11:06 02:54:37.88,80,,,,,
20251106_REU-ST-LEU_ASV-2_03,2025:11:06 04:01:05.32,20,,,,,
