session_name,time_first_frame,number_first_frame,filt_exclude_specific_timeUS,depth_range_max,depth_range_min,filt_exclude_specific_datetimeUTC,rgp_station
20231127_REU-HERMITAGE_ASV-2_03,2023:11:27 05:47:50.42,30,"[[641643950, 700444139]]",30,3,,
20231128_REU-HERMITAGE_ASV-1_01,1970:01:01 00:00:00.000,0,,,,,
20231128_REU-CAP-HOMARD_ASV-1_01,2023:11:28 04:34:40.84,20,,,,,
20231128_REU-CAP-HOMARD_ASV-1_02,2023:11:28 05:59:26.23,20,,,,,
20231128_REU-CAP-HOMARD_ASV-2_01,2023:11:28 04:36:49.94,20,,,,,
20231128_REU-CAP-HOMARD_ASV-2_02,2023:11:28 05:55:32.14,10,,,,,
20231129_REU-HERMITAGE_ASV-1_01,2023:11:29 03:24:30.52,40,,,,,
20231129_REU-ST-GILLES-CANYON_ASV-1_01,2023:11:29 05:01:58.19,20,,,,,
20231129_REU-HERMITAGE_ASV-2_01,2023:11:29 03:28:57.21,20,,30,6,,
20231129_REU-ST-GILLES-CANYON_ASV-2_01,2023:11:29 05:21:48.55,37,,,,,
