session_name,time_first_frame,number_first_frame,filt_exclude_specific_timeUS,depth_range_max,depth_range_min,filt_exclude_specific_datetimeUTC,rgp_station
20231103_REU-ST-LEU_ASV-2_01,2023:11:03 04:12:15.22,20,"[[4822708939, 4866288910],[4821708944, 5236088887]]",,,"[['2023:11:03 05:14:12.0','2023:11:03 05:18:49.0']]",
20231108_REU-ST-LEU_ASV-2_02,2023:11:08 02:14:31.74,53,,,,,
20231108_REU-ST-LEU_ASV-2_03,2023:11:08 03:46:23.84,20,,,,,
20231109_REU-BOUCAN_ASV-1_01,2023:11:09 03:40:40.97,25,,,,,
20231109_REU-BOUCAN_ASV-1_02,2023:11:09 05:11:08.34,30,,,,,
20231109_REU-BOUCAN_ASV-1_03,2023:11:09 06:20:56.02,20,,,,,
20231109_REU-BOUCAN_ASV-2_01,2023:11:09 03:58:49.09,30,,,,,
20231109_REU-BOUCAN_ASV-2_02,2023:11:09 05:00:27.42,30,,,,,
20231109_REU-BOUCAN_ASV-2_03,2023:11:09 06:14:27.11,30,,,,,
20231110_REU-ST-LEU_ASV-1_01,2023:11:10 02:37:01.95,20,"[[2776917646 ,4838097726]]",,,"[['2023:11:10 03:09:03.0','2023:11:10 03:43:03.0']]",
20231110_REU-ST-LEU_ASV-1_02,2023:11:10 04:15:32.64,20,,,,,
20231110_REU-ST-LEU_ASV-1_03,2023:11:10 05:30:57.60,20,,,,,
20231110_REU-ST-LEU_ASV-1_04,2023:11:10 06:34:24.34,20,,,,,
20231110_REU-ST-LEU_ASV-2_01,2023:11:10 02:15:53.51,260,,,,,
20231110_REU-ST-LEU_ASV-2_02,2023:11:10 03:59:05.01,30,,,,,
20231110_REU-ST-LEU_ASV-2_03,2023:11:10 04:56:38.19,20,,,,,
20231110_REU-ST-LEU_ASV-2_04,2023:11:10 06:01:07.90,20,,,,,
20231114_REU-HERMITAGE_ASV-1_01,2023:11:14 02:05:09.66,20,"[[2687819741, 3065819676]]",,,"[['2023:11:14 02:30:22.0','2023:11:14 02:36:39.0']]",
20231114_REU-HERMITAGE_ASV-1_02,2023:11:14 02:40:19.76,20,,,,,
20231115_REU-BOUCAN_ASV-1_01,1970:01:01 00:00:00.000,0,,,,,
20231115_REU-BOUCAN_ASV-1_02,1970:01:01 00:00:00.000,0,,,,,
20231115_REU-BOUCAN_ASV-2_01,1970:01:01 00:00:00.000,0,"[[425698833, 593498721]]",,,,
20231116_REU-BOUCAN_ASV-1_01,2023:11:16 03:05:27.41,20,"[[3574864488, 4150864643]]",,,,
20231116_REU-BOUCAN_ASV-1_02,2023:11:16 04:10:52.86,20,"[[3574864488, 4150864643]]",,,,
20231116_REU-BOUCAN_ASV-1_03,2023:11:16 05:12:41.56,20,,,,,
20231116_REU-BOUCAN_ASV-1_04,2023:11:16 06:16:03.57,20,,,,,
20231117_REU-BOUCAN_ASV-1_01,1970:01:01 00:00:00.000,0,,,,,
20231117_REU-BOUCAN_ASV-1_02,1970:01:01 00:00:00.000,0,,,,,
20231120_REU-HERMITAGE_ASV-1_01,2023:11:20 04:11:54.74,20,,,,,
20231120_REU-HERMITAGE_ASV-1_02,1970:01:01 00:00:00.000,0,,,,,
20231120_REU-BOUCAN_ASV-1_03,2023:11:20 05:12:55.70,20,,,,,
20231120_REU-BOUCAN_ASV-2_01,2023:11:20 05:17:56.94,30,,,,,
20231121_REU-BOUCAN_ASV-1_01,2023:11:21 03:11:31.56,20,,,,,
20231121_REU-BOUCAN_ASV-1_02,2023:11:21 04:31:22.91,30,,,,,
20231121_REU-BOUCAN_ASV-1_03,2023:11:21 05:29:45.68,211,"[[2901354914, 2903954957], [1568354928, 1569954971]]",,,,
20231121_REU-BOUCAN_ASV-2_01,2023:11:21 03:19:10.88,20,,,,,
20231121_REU-BOUCAN_ASV-2_02,2023:11:21 04:34:57.00,41,,,,,
20231121_REU-BOUCAN_ASV-2_03,2023:11:21 05:35:48.70,30,,,,,
20231122_REU-BOUCAN_ASV-1_01,2023:11:22 03:05:27.66,58,,,,,
20231122_REU-BOUCAN_ASV-1_02,2023:11:22 04:24:38.18,20,,,,,
20231122_REU-BOUCAN_ASV-1_03,2023:11:22 05:26:16.54,20,,,,,
20231122_REU-BOUCAN_ASV-2_01,2023:11:22 03:09:53.61,20,,,,,
20231122_REU-BOUCAN_ASV-2_02,2023:11:22 04:22:44.79,32,,,,,
20231122_REU-BOUCAN_ASV-2_03,2023:11:22 05:29:21.45,20,,,,,
20231123_REU-TROU-DEAU_ASV-1_01,2023:11:23 01:29:46.66,20,"[[2907828227, 2991828199]]",,,,
20231123_REU-TROU-DEAU_ASV-1_02,2023:11:23 02:24:30.48,20,,,,,
20231123_REU-TROU-DEAU_ASV-1_03,2023:11:23 03:20:17.79,20,"[[318922141, 357322153]]",,,,
20231123_REU-TROU-DEAU_ASV-1_04,2023:11:23 04:30:12.13,20,"[[3910910051,4144110267]]",,,,
20231123_REU-TESSIER_ASV-1_01,2023:11:23 06:15:53.98,40,"[[3903040259,4128040271]]",,,,
20231124_REU-HERMITAGE_ASV-1_01,2023:11:24 03:27:39.27,30,,,,,
20231124_REU-HERMITAGE_ASV-1_02,2023:11:24 04:57:30.81,20,,,,,
20231124_REU-HERMITAGE_ASV-1_03,2023:11:24 06:02:22.40,30,,30,3,,
20231124_REU-HERMITAGE_ASV-2_01,2023:11:24 03:34:13.41,50,,,,,
20231124_REU-HERMITAGE_ASV-2_02,2023:11:24 05:13:49.56,40,,,,,
20231127_REU-HERMITAGE_ASV-1_01,2023:11:27 03:16:04.11,170,,30,3,,
20231127_REU-HERMITAGE_ASV-1_02,2023:11:27 04:30:54.97,30,,,,,
20231127_REU-HERMITAGE_ASV-1_03,2023:11:27 05:38:47.9,30,,,,,
20231127_REU-HERMITAGE_ASV-2_01,2023:11:27 03:23:19.47,20,,30,3,,
20231127_REU-HERMITAGE_ASV-2_02,2023:11:27 04:41:01.33,40,,30,3,,
