session_name,time_first_frame,number_first_frame,filt_exclude_specific_timeUS,depth_range_max,depth_range_min,filt_exclude_specific_datetimeUTC,rgp_station
20250414_REU-TROU-DEAU_ASV-1_01,2025:04:14 02:27:37.56,40,,,,,
20250414_REU-TROU-DEAU_ASV-1_02,2025:04:14 03:22:55.83,180,"[[379440000,383243326]]",,,,
20250414_REU-TROU-DEAU_ASV-1_03,2025:04:14 04:29:56.00,10,"[[201262382,219662452]]",,,,
20250414_REU-TROU-DEAU_ASV-2_01,2025:04:14 04:23:18.81,20,,,,,
20250422_REU-TROU-DEAU_ASV-1_01,2025:04:22 02:30:00.23,40,,,,,
20250422_REU-TROU-DEAU_ASV-1_02,2025:04:22 03:27:50.57,30,,,,,
20250422_REU-TROU-DEAU_ASV-1_03,2025:04:22 04:44:18.53,30,,,,,
20250422_REU-TROU-DEAU_ASV-2_01,2025:04:22 02:38:23.08,80,,,,,
20250422_REU-TROU-DEAU_ASV-2_02,2025:04:22 03:40:43.14,240,,,,,
20250425_REU-ST-LEU_ASV-1_01,2025:04:25 02:46:54.21,30,,,,,
20250425_REU-ST-LEU_ASV-1_02,2025:04:25 04:00:16.83,30,,,,,
20250425_REU-ST-LEU_ASV-1_03,2025:04:25 05:10:51.53,20,,,,,
20250425_REU-ST-LEU_ASV-2_01,2025:04:25 02:40:43.57,30,,,,,
20250425_REU-ST-LEU_ASV-2_02,2025:04:25 03:49:37.82,40,,,,,
20250425_REU-ST-LEU_ASV-2_03,2025:04:25 04:56:18.95,30,,,,,
