session_name,time_first_frame,number_first_frame,filt_exclude_specific_timeUS,depth_range_max,depth_range_min
20240405_REU-TESSIER_ASV-1_01,2024:04:05 02:45:36.08,30,,2,
20240405_REU-TESSIER_ASV-1_02,2024:04:05 03:59:54.59,30,,,
20240412_REU-TESSIER_ASV-1_01,2024:04:12 02:36:59.99,20,,,
20240412_REU-TESSIER_ASV-1_02,2024:04:12 03:38:25.69,20,"[[523979821,614979649]]",,
20240419_REU-TROU-DEAU_ASV-1_01,2024:04:19 02:31:07.40,50,,,
20240419_REU-TROU-DEAU_ASV-1_02,2024:04:19 03:48:49.00,22,,,
20240419_REU-TROU-DEAU_ASV-1_03,2024:04:19 04:54:34.65,20,,,
20240426_REU-ST-LEU_ASV-1_01,2024:04:26 02:26:25.70,50,,,
20240426_REU-ST-LEU_ASV-1_02,2024:04:26 03:34:21.39,20,,,
