session_name,time_first_frame,number_first_frame,filt_exclude_specific_timeUS,depth_range_max,depth_range_min
20221019_SYC-aldabraARM01_ASV-01_00,2022:10:19 11:56:03.600,10,[],,
20221019_SYC-aldabraARM01_ASV-01_01,2022:10:19 13:33:13.400,10,,,
20221020_SYC-aldabraARM01_ASV-01_00,2022:10:20 06:42:18.900,11,,32,
20221020_SYC-aldabraARM01_ASV-01_01,2022:10:20 09:48:53.10,10,[],,
20221020_SYC-aldabraARM01_ASV-01_02,2022:10:20 12:36:15.30,20,,,
20221020_SYC-aldabraARM01_ASV-02_01,1970:01:01 00:00:00.00,0,,,
20221020_SYC-aldabraGIGI_ASV-01_00,1970:01:01 00:00:00.00,0,,15,
20221021_SYC-aldabraARM01_ASV-01_00,2022:10:21 07:34:23.600,20,,,
20221021_SYC-aldabraARM01_ASV-01_02,2022:10:21 13:55:50.900,10,,,
20221021_SYC-aldabraARM01_ASV-02_00,2022:10:21 06:42:10.800,10,,,
20221021_SYC-aldabraARM01_ASV-02_02,2022:10:21 13:55:20.900,10,,,
20221021_SYC-aldabraDUBOIS_ASV-01_01,2022:10:21 11:32:30.400,54,,20,2
20221021_SYC-aldabraDUBOIS_ASV-02_01,2022:10:21 11:31:44.400,40,,20,2
20221022_SYC-aldabraARM06_ASV-01_01,2022:10:22 10:35:14.400,20,,30,
20221022_SYC-aldabraARM06_ASV-01_02,2022:10:22 11:46:42.800,9,,70,20
20221022_SYC-aldabraARM06_ASV-02_01,2022:10:22 10:40:20.800,10,,,
20221022_SYC-aldabraARM06_ASV-02_02,2022:10:22 11:59:22.300,10,,,
20221022_SYC-aldabraGIGI_ASV-01_00,2022:10:22 05:08:24.400,20,,,
20221023_SYC-aldabraDUBOIS_ASV-01_00,2022:10:23 10:57:23.700,20,,,
20221023_SYC-aldabraDUBOIS_ASV-01_01,2022:10:23 11:27:26.800,60,,,
20221023_SYC-aldabraDUBOIS_ASV-01_02,2022:10:23 12:35:15.600,110,,20,2
20221023_SYC-aldabraDUBOIS_ASV-02_02,2022:10:23 11:04:32.400,50,,20,2
20221023_SYC-aldabraGIGI_ASV-01_00,2022:10:23 16:29:35.800,20,,,
20221023_SYC-aldabraGIGI_ASV-01_01,2022:10:23 17:21:06.400,10,,,
20221023_SYC-aldabraGIGI_ASV-02_00,2022:10:23 05:47:00.800,10,,6,
20221023_SYC-aldabraGIGI_ASV-02_01,2022:10:23 06:47:04.400,10,,,
20221024_SYC-aldabraARM01_ASV-01_00,2022:10:24 06:54:43.700,20,,15,
20221024_SYC-aldabraARM01_ASV-01_01,2022:10:24 10:54:28.300,10,,20,2
20221024_SYC-aldabraARM01_ASV-01_02,2022:10:24 12:10:23.00,10,,,
20221024_SYC-aldabraARM01_ASV-02_00,2022:10:24 11:26:52.700,20,,,
20221024_SYC-aldabraARM01_ASV-02_01,2022:10:24 12:42:56.100,8,,,
20221024_SYC-aldabraGIGI_ASV-01_00,2022:10:24 15:37:09.200,19,,,
