session_name,time_first_frame,number_first_frame,filt_exclude_specific_timeUS,depth_range_max,depth_range_min,filt_exclude_specific_datetimeUTC,rgp_station
20230906_REU-BOUCAN_ASV-1_01,2023:09:06 04:05:40.33,20,,25,,,
20230906_REU-BOUCAN_ASV-1_02,2023:09:06 06:13:14.42,20,,,,,
20230907_REU-BOUCAN_ASV-1_01,2023:09:07 04:17:25.95,20,,,,,
20230907_REU-BOUCAN_ASV-1_02,2023:09:07 06:17:11.14,40,,,,,
20230908_REU-BOUCAN_ASV-1_01,2023:09:08 03:35:46.41,47,,,,,
20230908_REU-BOUCAN_ASV-1_02,2023:09:08 05:36:43.74,20,,,,,
20230913_REU-BOUCAN_ASV-1_01,2023:09:13 03:51:20.74,20,,,,,
20230913_REU-BOUCAN_ASV-1_02,2023:09:13 06:17:56.08,20,"[[881813377, 1232393817]]",,,,
20230913_REU-BOUCAN_ASV-2_01,2023:09:13 04:10:15.04,20,,,,,
20230922_REU-HERMITAGE_ASV-1_01,2023:09:22 03:47:41.57,20,,,,,
20230922_REU-HERMITAGE_ASV-1_02,2023:09:22 05:15:40.76,51,,30,,,
20230925_REU-HERMITAGE_ASV-1_01,2023:09:25 04:47:25.16,20,,30,,,
20230925_REU-HERMITAGE_ASV-1_02,2023:09:25 06:47:30.57,20,,30,,,
20230926_REU-HERMITAGE_ASV-1_01,2023:09:26 04:56:17.12,20,,30,,,
20230926_REU-HERMITAGE_ASV-2_01,2023:09:26 05:06:39.49,230,,30,,,
20230927_REU-HERMITAGE_ASV-1_01,2023:09:27 04:49:26.96,10,,30,,,
20230927_REU-HERMITAGE_ASV-2_01,2023:09:27 05:02:02.97,10,,30,,,
